chr,start,end
chr1,54191806,54191838
chr1,69208265,69208307
chr1,85700320,85700369
chr1,178516986,178517031
chr10,44125790,44125820
chr10,67089552,67089584
chr11,4038042,4038086
chr11,37589949,37589978
chr11,77611603,77611641
chr11,101367392,101367712
chr11,101367797,101368027
chr11,101374589,101374706
chr12,84222204,84222237
chr12,86093869,86093907
chr13,41031635,41031663
chr14,32854210,32854255
chr14,48587497,48587533
chr15,78154375,78154415
chr15,97343757,97343790
chr16,96938198,96938245
chr17,53688388,53688425
chr17,71459018,71459060
chr18,35371785,35371821
chr2,120997331,120997360
chr2,162905788,162905835
chr2,167168531,167168559
chr2,168344976,168345004
chr2,171874155,171874193
chr3,96013425,96013467
chr4,25421148,25421204
chr4,43782875,43782929
chr4,126117576,126117622
chr4,136389437,136389475
chr4,142189898,142189932
chr4,154908675,154908716
chr5,21522481,21522512
chr5,117412284,117412336
chr5,136119277,136119328
chr5,145246599,145246626
chr7,102259684,102259721
chr7,141139230,141139273
chr8,3204473,3204515
chr9,106499549,106499583
chrX,8119550,8119577
chrX,153128054,153128086
