chr	start	end
1	2561	2882
1	3412	3642
1	3857	3974
1	2242	2281
1	2240	2284
1	2412	2441
1	2242	2284
1	2389	2444
1	2399	2441
1	2247	2281
1	1661	1706
1	2239	2295
1	2243	2282
1	2232	2274
1	2398	2447
1	2241	2284
1	2225	2262
1	2243	2284
1	2243	2276
1	2398	2448
1	2398	2441
1	2232	2278
1	1592	1624
1	2389	2440
1	2238	2292
1	2411	2442
1	1662	1689
1	2238	2274
1	2398	2441
1	1749	1785
1	2232	2279
1	2240	2269
1	2244	2282
1	2414	2442
1	1595	1623
1	2242	2281
1	2251	2284
1	2239	2284
1	2414	2451
1	2413	2445
1	1592	1619
1	2242	2277
1	2414	2442
1	2239	2270
1	2229	2259
