chr	start	end
chr2	38795275	38795426
chr16	79572135	79572286
chr1	165371014	165371165
chr1	165371014	165371165
chr2	26240002	26240070
chr11	101372688	101372839
chr2	26240002	26240153
chr2	26240002	26240153
chr2	26240002	26240063
chr5	44461516	44461667
chr5	44461516	44461667
chr3	135434461	135434551
chr1	165371014	165371165
chr11	101372646	101372797
chr5	44461516	44461565
chr2	26240002	26240153
chr2	26240002	26240153
chr10	35115330	35115415
chr16	79572135	79572286
chr16	79572135	79572286
chr2	26240002	26240084
chr16	79572135	79572246
chr4	76887041	76887192
chr4	76887041	76887192
chr5	44461516	44461631
chr5	44461516	44461588
chr10	35115330	35115468
chr4	151712859	151713010
chr4	151712859	151713010
chr5	44461516	44461579
chr8	38665131	38665200
chr6	72857085	72857236
chr6	72857085	72857236
chr16	79572135	79572212
chr5	44461516	44461667
chr5	44461516	44461667
chr3	135434461	135434612
chr1	165371014	165371154
chr11	101372707	101372858
chr16	79572135	79572259
chr11	84412429	84412516
chr11	84412429	84412516
chr4	151712859	151712947
chr4	151712859	151712947
chr13	54458970	54459121
chr13	54458970	54459121
chr10	35115330	35115481
chr10	35115330	35115481
chr11	84412410	84412548
chr6	106822659	106822745
chr9	74931304	74931417
chr15	19874721	19874851
chr5	44461516	44461606
chr4	151712859	151712957
