sample,chromosome,position,coverage
149,chr1,1,0
149,chr1,2,0
149,chr1,3,0
149,chr1,4,0
149,chr1,5,0
149,chr1,6,0
149,chr1,7,0
149,chr1,8,0
149,chr1,9,0
149,chr1,10,0
149,chr1,11,0
149,chr1,12,0
149,chr1,13,0
149,chr1,14,0
149,chr1,15,0
149,chr1,16,0
149,chr1,17,0
149,chr1,18,0
149,chr1,19,0
149,chr1,20,0
149,chr1,21,0
149,chr1,22,0
149,chr1,23,0
149,chr1,24,0
149,chr1,25,0
149,chr1,26,0
149,chr1,27,0
149,chr1,28,0
149,chr1,29,0
149,chr1,30,0
149,chr1,31,0
149,chr1,32,0
149,chr1,33,0
149,chr1,34,0
149,chr1,35,0
149,chr1,36,0
149,chr1,37,0
149,chr1,38,0
149,chr1,39,0
149,chr1,40,0
149,chr1,41,0
149,chr1,42,0
149,chr1,43,0
149,chr1,44,0
149,chr1,45,0
149,chr1,46,0
149,chr1,47,0
149,chr1,48,0
149,chr1,49,0
149,chr1,50,0
149,chr1,51,0
149,chr1,52,0
149,chr1,53,0
149,chr1,54,0
149,chr1,55,0
149,chr1,56,0
149,chr1,57,0
149,chr1,58,0
149,chr1,59,0
149,chr1,60,0
149,chr1,61,0
149,chr1,62,0
149,chr1,63,0
149,chr1,64,0
149,chr1,65,0
149,chr1,66,1
149,chr1,67,1
149,chr1,68,1
149,chr1,69,1
149,chr1,70,1
149,chr1,71,1
149,chr1,72,5
149,chr1,73,5
149,chr1,74,5
149,chr1,75,5
149,chr1,76,7
149,chr1,77,7
149,chr1,78,7
149,chr1,79,7
149,chr1,80,7
149,chr1,81,7
149,chr1,82,7
149,chr1,83,7
149,chr1,84,7
149,chr1,85,7
149,chr1,86,7
149,chr1,87,7
149,chr1,88,7
149,chr1,89,7
149,chr1,90,7
149,chr1,91,7
149,chr1,92,7
149,chr1,93,7
149,chr1,94,7
149,chr1,95,7
149,chr1,96,7
149,chr1,97,10
149,chr1,98,10
149,chr1,99,10
149,chr1,100,10
149,chr1,101,10
149,chr1,102,10
149,chr1,103,10
149,chr1,104,10
149,chr1,105,10
149,chr1,106,10
149,chr1,107,10
149,chr1,108,10
149,chr1,109,10
149,chr1,110,10
149,chr1,111,10
149,chr1,112,10
149,chr1,113,10
149,chr1,114,11
149,chr1,115,11
149,chr1,116,11
149,chr1,117,11
149,chr1,118,11
149,chr1,119,11
149,chr1,120,13
149,chr1,121,13
149,chr1,122,13
149,chr1,123,13
149,chr1,124,13
149,chr1,125,9
149,chr1,126,7
149,chr1,127,7
149,chr1,128,7
149,chr1,129,7
149,chr1,130,7
149,chr1,131,7
149,chr1,132,7
149,chr1,133,7
149,chr1,134,7
149,chr1,135,7
149,chr1,136,8
149,chr1,137,8
149,chr1,138,8
149,chr1,139,8
149,chr1,140,8
149,chr1,141,8
149,chr1,142,8
149,chr1,143,8
149,chr1,144,8
149,chr1,145,8
149,chr1,146,8
149,chr1,147,13
149,chr1,148,13
149,chr1,149,13
149,chr1,150,13
149,chr1,151,13
149,chr1,152,10
149,chr1,153,10
149,chr1,154,10
149,chr1,155,10
149,chr1,156,10
149,chr1,157,10
149,chr1,158,10
149,chr1,159,10
149,chr1,160,10
149,chr1,161,10
149,chr1,162,10
149,chr1,163,12
149,chr1,164,12
149,chr1,165,12
149,chr1,166,16
149,chr1,167,16
149,chr1,168,16
149,chr1,169,16
149,chr1,170,16
149,chr1,171,16
149,chr1,172,16
149,chr1,173,16
149,chr1,174,19
149,chr1,175,19
149,chr1,176,19
149,chr1,177,19
149,chr1,178,19
149,chr1,179,19
149,chr1,180,19
149,chr1,181,19
149,chr1,182,18
149,chr1,183,19
149,chr1,184,21
149,chr1,185,21
149,chr1,186,21
149,chr1,187,21
149,chr1,188,21
149,chr1,189,19
149,chr1,190,19
149,chr1,191,19
149,chr1,192,19
149,chr1,193,19
149,chr1,194,19
149,chr1,195,19
149,chr1,196,19
149,chr1,197,19
149,chr1,198,19
149,chr1,199,19
149,chr1,200,19
149,chr1,201,19
149,chr1,202,19
149,chr1,203,19
149,chr1,204,19
149,chr1,205,19
149,chr1,206,19
149,chr1,207,19
149,chr1,208,19
